id,county,name,type,star,ind_month,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
01000028,Alamance,Patricia Filyaw Day Care Home,Home,1 Star H 2C,4,1,0,2,1,3,0,0,2,8,8,8,Independent Family Residence,N,0,March,2019
01000028,Alamance,Patricia Filyaw Day Care Home,Home,1 Star H 2C,4,2,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,N,0,March,2019
01000028,Alamance,Patricia Filyaw Day Care Home,Home,1 Star H 2C,4,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,N,0,March,2019
01000050,Alamance,Jeanette Beaudet Day Care Home,Home,1 Star H 2C,1,1,0,1,1,0,3,0,1,6,8,8,Independent Family Residence,N,1,March,2019
01000050,Alamance,Jeanette Beaudet Day Care Home,Home,1 Star H 2C,1,2,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,N,1,March,2019
01000050,Alamance,Jeanette Beaudet Day Care Home,Home,1 Star H 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,N,1,March,2019
01000176,Alamance,Precious Gift,Home,4 Star H 2C,8,1,0,1,0,0,0,4,2,7,8,8,Independent Family Residence,Y,1,March,2019
01000176,Alamance,Precious Gift,Home,4 Star H 2C,8,2,0,0,0,0,0,0,0,0,8,8,Independent Family Residence,Y,1,March,2019
01000176,Alamance,Precious Gift,Home,4 Star H 2C,8,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,1,March,2019
01000289,Alamance,Jane's Day Care,Home,3 Star H 2C,8,1,1,3,0,1,0,0,0,5,8,8,Independent Family Residence,Y,2,March,2019
01000289,Alamance,Jane's Day Care,Home,3 Star H 2C,8,2,0,0,0,0,0,0,0,0,8,0,Independent Family Residence,Y,2,March,2019
01000289,Alamance,Jane's Day Care,Home,3 Star H 2C,8,3,0,0,0,0,0,0,0,0,8,0,Independent Family Residence,Y,2,March,2019
01000333,Alamance,Mickey/Minnie Day Care,Home,4 Star H 2C,1,1,1,0,2,2,0,1,1,7,8,8,Independent Family Residence,Y,1,March,2019
01000333,Alamance,Mickey/Minnie Day Care,Home,4 Star H 2C,1,2,0,0,0,0,0,0,0,0,8,8,Independent Family Residence,Y,1,March,2019
01000333,Alamance,Mickey/Minnie Day Care,Home,4 Star H 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,1,March,2019
01000403,Alamance,Shelby's In Home Day Care,Home,4 Star H 2C,1,1,0,1,2,2,0,0,1,6,5,5,Independent Family Residence,Y,1,March,2019
01000403,Alamance,Shelby's In Home Day Care,Home,4 Star H 2C,1,2,0,0,0,0,0,0,0,0,5,5,Independent Family Residence,Y,1,March,2019
01000403,Alamance,Shelby's In Home Day Care,Home,4 Star H 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,1,March,2019
01000436,Alamance,Annie's Blessed Children's Daycare,Home,4 Star H 2C,10,1,2,1,0,0,1,0,1,5,8,8,Independent Family Residence,Y,1,March,2019
01000436,Alamance,Annie's Blessed Children's Daycare,Home,4 Star H 2C,10,2,0,1,1,1,2,0,1,6,8,8,Independent Family Residence,Y,1,March,2019
01000436,Alamance,Annie's Blessed Children's Daycare,Home,4 Star H 2C,10,3,0,0,0,0,0,0,0,0,8,8,Independent Family Residence,Y,1,March,2019
01000439,Alamance,Loving Memories Daycare,Home,4 Star H 2C,1,1,0,0,1,1,3,0,4,9,8,8,Independent Family Residence,Y,1,March,2019
01000439,Alamance,Loving Memories Daycare,Home,4 Star H 2C,1,2,0,0,0,0,1,1,1,3,8,8,Independent Family Residence,Y,1,March,2019
01000439,Alamance,Loving Memories Daycare,Home,4 Star H 2C,1,3,0,0,0,0,0,0,0,0,8,8,Independent Family Residence,Y,1,March,2019
01000463,Alamance,Precious Lil Tots Daycare,Home,4 Star H 2C,8,1,1,1,0,0,0,0,0,2,8,8,Independent Family Residence,Y,0,March,2019
01000463,Alamance,Precious Lil Tots Daycare,Home,4 Star H 2C,8,2,1,1,1,0,1,0,5,9,8,8,Independent Family Residence,Y,0,March,2019
01000463,Alamance,Precious Lil Tots Daycare,Home,4 Star H 2C,8,3,0,0,0,0,0,0,0,0,8,8,Independent Family Residence,Y,0,March,2019
01000508,Alamance,Just Like Home,Home,3 Star H 2C,2,1,0,2,2,1,0,0,4,9,8,8,Independent Family Residence,Y,1,March,2019
01000508,Alamance,Just Like Home,Home,3 Star H 2C,2,2,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,1,March,2019
01000508,Alamance,Just Like Home,Home,3 Star H 2C,2,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,1,March,2019
01000552,Alamance,A Mother's Touch,Home,3 Star H 2C,8,1,1,0,0,1,0,1,7,10,8,8,Independent Family Residence,Y,1,March,2019
01000552,Alamance,A Mother's Touch,Home,3 Star H 2C,8,2,0,0,0,0,0,1,5,6,8,8,Independent Family Residence,Y,1,March,2019
01000552,Alamance,A Mother's Touch,Home,3 Star H 2C,8,3,0,0,0,0,0,0,3,3,8,8,Independent Family Residence,Y,1,March,2019
01000570,Alamance,Beverly's Home Day Care,Home,3 Star H 2C,7,1,0,0,3,0,1,0,0,4,8,8,Independent Family Residence,Y,1,March,2019
01000570,Alamance,Beverly's Home Day Care,Home,3 Star H 2C,7,2,0,0,0,0,0,0,0,0,8,0,Independent Family Residence,Y,1,March,2019
01000570,Alamance,Beverly's Home Day Care,Home,3 Star H 2C,7,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,1,March,2019
01000575,Alamance,Pattycakes Baby Depot,Home,4 Star H 2C,7,1,2,1,1,0,0,0,0,4,8,8,Independent Family Residence,Y,3,March,2019
01000575,Alamance,Pattycakes Baby Depot,Home,4 Star H 2C,7,2,0,0,0,0,0,0,0,0,8,8,Independent Family Residence,Y,3,March,2019
01000575,Alamance,Pattycakes Baby Depot,Home,4 Star H 2C,7,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,3,March,2019
01000594,Alamance,Trish's Little Angels Childcare,Home,5 Star H 2C,8,1,0,3,1,0,0,1,0,5,8,8,Independent Family Residence,Y,1,March,2019
01000594,Alamance,Trish's Little Angels Childcare,Home,5 Star H 2C,8,2,0,0,0,0,0,0,0,0,8,0,Independent Family Residence,Y,1,March,2019
01000594,Alamance,Trish's Little Angels Childcare,Home,5 Star H 2C,8,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,1,March,2019
01000628,Alamance,Key'z Angels In Heaven Academy,Home,5 Star H 2C,5,1,0,0,0,0,0,0,0,0,8,8,Independent Family Residence,Y,0,March,2019
01000628,Alamance,Key'z Angels In Heaven Academy,Home,5 Star H 2C,5,2,0,0,0,0,0,0,0,0,8,8,Independent Family Residence,Y,0,March,2019
01000628,Alamance,Key'z Angels In Heaven Academy,Home,5 Star H 2C,5,3,0,0,0,0,0,0,0,0,8,8,Independent Family Residence,Y,0,March,2019
01000636,Alamance,Walking By Faith Daycare,Home,Temp FCC Lic,1,1,0,0,0,0,0,0,0,0,5,0,Independent Modular,N,0,March,2019
01000636,Alamance,Walking By Faith Daycare,Home,Temp FCC Lic,1,2,0,0,0,0,0,0,0,0,5,0,Independent Modular,N,0,March,2019
01000636,Alamance,Walking By Faith Daycare,Home,Temp FCC Lic,1,3,0,0,0,0,0,0,0,0,5,0,Independent Modular,N,0,March,2019
01000044,Alamance,Children's House Montessori,Center,3 Star C 2C,5,1,0,0,2,3,2,0,0,7,89,89,Independent Converted Building,Y,3,March,2019
01000044,Alamance,Children's House Montessori,Center,3 Star C 2C,5,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,3,March,2019
01000044,Alamance,Children's House Montessori,Center,3 Star C 2C,5,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,3,March,2019
01000109,Alamance,"Love­a­lot Day Care & Preschool, Inc",Center,3 Star C 2C,12,1,0,5,1,4,1,0,0,11,29,29,Independent Constructed for Child Care,Y,2,March,2019
01000109,Alamance,"Love­a­lot Day Care & Preschool, Inc",Center,3 Star C 2C,12,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,2,March,2019
01000109,Alamance,"Love­a­lot Day Care & Preschool, Inc",Center,3 Star C 2C,12,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,2,March,2019
01000136,Alamance,Lawson's Preschool,Center,4 Star C 2C,7,1,0,0,0,0,0,0,23,23,46,46,Independent Converted Building,Y,3,March,2019
01000136,Alamance,Lawson's Preschool,Center,4 Star C 2C,7,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,3,March,2019
01000136,Alamance,Lawson's Preschool,Center,4 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,3,March,2019
01000203,Alamance,Mary's Creative Play Preschool,Center,4 Star C 2C,1,1,0,1,5,2,2,0,0,10,12,12,Independent Family Residence,Y,2,March,2019
01000203,Alamance,Mary's Creative Play Preschool,Center,4 Star C 2C,1,2,0,0,0,0,0,0,0,0,12,12,Independent Family Residence,Y,2,March,2019
01000203,Alamance,Mary's Creative Play Preschool,Center,4 Star C 2C,1,3,0,0,0,0,0,0,0,0,12,12,Independent Family Residence,Y,2,March,2019
01000214,Alamance,Graham Head Start,Center,4 Star C 2C,1,1,0,0,0,7,18,10,0,35,36,36,Head Start Modular,N,4,March,2019
01000214,Alamance,Graham Head Start,Center,4 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Head Start Modular,N,4,March,2019
01000214,Alamance,Graham Head Start,Center,4 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Head Start Modular,N,4,March,2019
01000216,Alamance,Lots Of Luv,Center,4 Star C 2C,9,1,1,1,1,1,1,0,2,7,12,12,Independent Family Residence,Y,1,March,2019
01000216,Alamance,Lots Of Luv,Center,4 Star C 2C,9,2,0,0,0,0,0,0,0,0,12,0,Independent Family Residence,Y,1,March,2019
01000216,Alamance,Lots Of Luv,Center,4 Star C 2C,9,3,0,0,0,0,0,0,0,0,12,0,Independent Family Residence,Y,1,March,2019
01000231,Alamance,F.a.c.b. Child Development Center,Center,4 Star C 2C,6,1,0,0,3,1,0,0,0,4,12,12,Independent Family Residence,Y,1,March,2019
01000231,Alamance,F.a.c.b. Child Development Center,Center,4 Star C 2C,6,2,0,0,0,0,0,0,0,0,12,12,Independent Family Residence,Y,1,March,2019
01000231,Alamance,F.a.c.b. Child Development Center,Center,4 Star C 2C,6,3,0,0,0,0,0,0,0,0,12,12,Independent Family Residence,Y,1,March,2019
01000244,Alamance,Childcare Network #78,Center,5 Star C 2C,11,1,0,0,0,0,5,13,0,18,127,0,Independent Constructed for Child Care,Y,6,March,2019
