id,county,type,star,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
06000056,AVERY,CENTERS,1-STAR,1,0,0,0,0,0,0,116,116,175,175,Other           School,Y,2,august,2008
06000056,AVERY,CENTERS,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Other           School,Y,2,august,2008
06000056,AVERY,CENTERS,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Other           School,Y,2,august,2008
06000057,AVERY,CENTERS,1-STAR,1,0,0,0,0,0,0,36,36,45,45,Community       School,Y,4,august,2008
06000057,AVERY,CENTERS,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Community       School,Y,4,august,2008
06000057,AVERY,CENTERS,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Community       School,Y,4,august,2008
06000058,AVERY,CENTERS,1-STAR,1,0,0,0,0,0,0,38,38,80,80,Community       School,Y,5,august,2008
06000058,AVERY,CENTERS,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Community       School,Y,5,august,2008
06000058,AVERY,CENTERS,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Community       School,Y,5,august,2008
06000059,AVERY,CENTERS,1-STAR,1,0,0,0,0,0,0,8,8,40,40,Community      School,Y,3,august,2008
06000059,AVERY,CENTERS,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Community      School,Y,3,august,2008
06000059,AVERY,CENTERS,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Community      School,Y,3,august,2008
06000060,AVERY,CENTERS,1-STAR,1,0,0,0,0,0,0,46,46,80,80,Community      School,Y,4,august,2008
06000060,AVERY,CENTERS,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Community      School,Y,4,august,2008
06000060,AVERY,CENTERS,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Community      School,Y,4,august,2008
06000063,AVERY,CENTERS,3-STAR,1,4,6,8,2,6,4,2,32,45,45,Independent    Religious,Y,7,august,2008
06000063,AVERY,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Religious,Y,7,august,2008
06000063,AVERY,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Religious,Y,7,august,2008
06000068,AVERY,CENTERS,TEMP,1,6,4,6,7,6,4,11,44,120,120,Independent    Constructed for,Y,4,august,2008
06000068,AVERY,CENTERS,TEMP,2,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,4,august,2008
06000068,AVERY,CENTERS,TEMP,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,4,august,2008
06000070,AVERY,CENTERS,TEMP,1,2,1,9,10,1,0,3,26,45,45,Independent    Converted House,Y,4,august,2008
06000070,AVERY,CENTERS,TEMP,2,0,0,0,0,0,0,0,0,0,0,Independent    Converted House,Y,4,august,2008
06000070,AVERY,CENTERS,TEMP,3,0,0,0,0,0,0,0,0,0,0,Independent    Converted House,Y,4,august,2008
0655001,AVERY,CENTERS,5-STAR,1,0,0,0,6,8,0,0,14,25,30,Head Start     Religious,Y,3,august,2008
0655001,AVERY,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Head Start     Religious,Y,3,august,2008
0655001,AVERY,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Head Start     Religious,Y,3,august,2008
