id,county,type,star,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
26001078,CUMBERLAND,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Franchise       Constructed for,Y,0,january,2007
26001092,CUMBERLAND,CENTERS,GS[0-9]+,1,1,1,2,1,2,5,0,12,15,15,Religious       Converted House,Y,2,january,2007
26001092,CUMBERLAND,CENTERS,GS[0-9]+,2,0,0,0,0,0,0,0,0,15,15,Religious       Converted House,Y,2,january,2007
26001092,CUMBERLAND,CENTERS,GS[0-9]+,3,0,0,0,0,0,0,0,0,15,15,Religious       Converted House,Y,2,january,2007
26001093,CUMBERLAND,CENTERS,4-STAR,1,4,3,6,11,18,7,0,49,54,54,Head Start      Constructed for,N,5,january,2007
26001093,CUMBERLAND,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Head Start      Constructed for,N,5,january,2007
26001093,CUMBERLAND,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Head Start      Constructed for,N,5,january,2007
26001098,CUMBERLAND,CENTERS,2-STAR,1,10,13,13,12,11,0,36,95,281,281,Independent     Constructed for,Y,3,january,2007
26001098,CUMBERLAND,CENTERS,2-STAR,2,0,0,0,0,0,0,0,0,281,281,Independent     Constructed for,Y,3,january,2007
26001098,CUMBERLAND,CENTERS,2-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent     Constructed for,Y,3,january,2007
26001112,CUMBERLAND,CENTERS,4-STAR,1,10,5,41,21,26,5,0,108,156,156,College/Univers Constructed for,Y,5,january,2007
26001112,CUMBERLAND,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,College/Univers Constructed for,Y,5,january,2007
26001112,CUMBERLAND,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,College/Univers Constructed for,Y,5,january,2007
26001117,CUMBERLAND,CENTERS,1-STAR,1,6,5,4,4,5,3,17,44,24,24,Independent     Converted,Y,3,january,2007
26001117,CUMBERLAND,CENTERS,1-STAR,2,0,0,0,0,0,0,0,0,24,24,Independent     Converted,Y,3,january,2007
26001117,CUMBERLAND,CENTERS,1-STAR,3,0,0,0,0,0,0,0,0,24,24,Independent     Converted,Y,3,january,2007
26001125,CUMBERLAND,CENTERS,5-STAR,1,0,0,0,0,0,0,140,140,199,199,Independent     Converted,Y,0,january,2007
26001125,CUMBERLAND,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent     Converted,Y,0,january,2007
26001125,CUMBERLAND,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent     Converted,Y,0,january,2007
26001133,CUMBERLAND,CENTERS,1-STAR,1,0,0,13,26,46,0,0,85,81,81,Independent Religious,Y,5,january,2007
26001133,CUMBERLAND,CENTERS,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Religious,Y,5,january,2007
26001133,CUMBERLAND,CENTERS,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Religious,Y,5,january,2007
