id,county,name,type,star,ind_month,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
11000138,Buncombe,Asheville Jewish Community Center,Center,5 Star C 2C,9,1,3,13,18,28,29,21,0,112,130,130,Independent Constructed for Child Care,Y,23,November,2018
11000138,Buncombe,Asheville Jewish Community Center,Center,5 Star C 2C,9,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,23,November,2018
11000138,Buncombe,Asheville Jewish Community Center,Center,5 Star C 2C,9,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,23,November,2018
11000158,Buncombe,Kaleidoscope Child Care Center,Center,3 Star C 2C,5,1,1,2,6,3,9,4,0,25,60,60,Independent Converted Building,Y,4,November,2018
11000158,Buncombe,Kaleidoscope Child Care Center,Center,3 Star C 2C,5,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,4,November,2018
11000158,Buncombe,Kaleidoscope Child Care Center,Center,3 Star C 2C,5,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,4,November,2018
11000357,Buncombe,Rainbow Mountain Children's School,Center,5 Star C 2C,6,1,0,0,0,3,23,10,0,36,44,44,Private School School,Y,7,November,2018
11000357,Buncombe,Rainbow Mountain Children's School,Center,5 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Private School School,Y,7,November,2018
11000357,Buncombe,Rainbow Mountain Children's School,Center,5 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Private School School,Y,7,November,2018
11000377,Buncombe,The Lonnie D Burton Child Development Ctr,Center,5 Star C 2C,6,1,0,0,0,14,23,17,0,54,109,109,Head Start Community Building,Y,7,November,2018
11000377,Buncombe,The Lonnie D Burton Child Development Ctr,Center,5 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Head Start Community Building,Y,7,November,2018
11000377,Buncombe,The Lonnie D Burton Child Development Ctr,Center,5 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Head Start Community Building,Y,7,November,2018
11000385,Buncombe,Sand Hill­venable Elementary Head Start,Center,5 Star C 2C,8,1,0,0,0,2,10,5,0,17,18,18,Head Start School,N,2,November,2018
11000385,Buncombe,Sand Hill­venable Elementary Head Start,Center,5 Star C 2C,8,2,0,0,0,0,0,0,0,0,0,0,Head Start School,N,2,November,2018
11000385,Buncombe,Sand Hill­venable Elementary Head Start,Center,5 Star C 2C,8,3,0,0,0,0,0,0,0,0,0,0,Head Start School,N,2,November,2018
11000389,Buncombe,Leicester Elementary School Headstart,Center,5 Star C 2C,6,1,0,0,0,8,10,0,0,18,18,18,Head Start School,Y,4,November,2018
11000389,Buncombe,Leicester Elementary School Headstart,Center,5 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Head Start School,Y,4,November,2018
11000389,Buncombe,Leicester Elementary School Headstart,Center,5 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Head Start School,Y,4,November,2018
11000390,Buncombe,Ww Estes Elementary School Head Start,Center,5 Star C 2C,2,1,0,0,0,2,3,11,0,16,18,18,Head Start School,N,2,November,2018
11000390,Buncombe,Ww Estes Elementary School Head Start,Center,5 Star C 2C,2,2,0,0,0,0,0,0,0,0,0,0,Head Start School,N,2,November,2018
11000390,Buncombe,Ww Estes Elementary School Head Start,Center,5 Star C 2C,2,3,0,0,0,0,0,0,0,0,0,0,Head Start School,N,2,November,2018
11000391,Buncombe,Fairview Elementary School Head Start,Center,5 Star C 2C,6,1,0,0,0,4,10,4,0,18,18,18,Head Start School,Y,3,November,2018
11000391,Buncombe,Fairview Elementary School Head Start,Center,5 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Head Start School,Y,3,November,2018
11000391,Buncombe,Fairview Elementary School Head Start,Center,5 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Head Start School,Y,3,November,2018
11000394,Buncombe,Barnardsville School Head Start,Center,Other,10,1,0,0,0,6,12,0,0,18,18,18,Head Start School,N,3,November,2018
11000395,Buncombe,W D Williams Elementary Head Start,Center,5 Star C 2C,6,1,0,0,0,2,9,4,0,15,20,20,Head Start School,N,4,November,2018
11000395,Buncombe,W D Williams Elementary Head Start,Center,5 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Head Start School,N,4,November,2018
11000395,Buncombe,W D Williams Elementary Head Start,Center,5 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Head Start School,N,4,November,2018
11000397,Buncombe,North Buncombe Elementary School Head,Center,5 Star C 2C,11,1,0,0,0,8,9,0,0,17,18,18,Head Start School,N,3,November,2018
11000397,Buncombe,North Buncombe Elementary School Head,Center,5 Star C 2C,11,2,0,0,0,0,0,0,0,0,0,0,Head Start School,N,3,November,2018
11000397,Buncombe,North Buncombe Elementary School Head,Center,5 Star C 2C,11,3,0,0,0,0,0,0,0,0,0,0,Head Start School,N,3,November,2018
11000405,Buncombe,Ywca Of Asheville Early Learning Program,Center,5 Star C 2C,8,1,6,13,19,19,4,0,0,61,153,153,Community Service Constructed for Child,Y,32,November,2018
11000405,Buncombe,Ywca Of Asheville Early Learning Program,Center,5 Star C 2C,8,2,0,0,0,0,0,0,0,0,0,0,Community Service Constructed for Child,Y,32,November,2018
11000405,Buncombe,Ywca Of Asheville Early Learning Program,Center,5 Star C 2C,8,3,0,0,0,0,0,0,0,0,0,0,Community Service Constructed for Child,Y,32,November,2018
11000421,Buncombe,Kids Kountry Klub House,Center,3 Star C 2C,2,1,5,9,0,14,31,8,0,67,75,0,Independent Converted Building,Y,10,November,2018
11000421,Buncombe,Kids Kountry Klub House,Center,3 Star C 2C,2,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,10,November,2018
11000421,Buncombe,Kids Kountry Klub House,Center,3 Star C 2C,2,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,10,November,2018
11000442,Buncombe,Crossroads Children's Center,Center,Other,6,1,6,5,3,5,5,4,0,28,50,50,Religious Sponsored Religious,Y,8,November,2018
11000442,Buncombe,Crossroads Children's Center,Center,Other,6,2,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Religious,Y,8,November,2018
11000442,Buncombe,Crossroads Children's Center,Center,Other,6,3,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Religious,Y,8,November,2018
11000456,Buncombe,Verner,Center,5 Star C 2C,3,1,2,7,22,26,29,14,0,100,100,100,Community Service Constructed for Child,Y,24,November,2018
11000456,Buncombe,Verner,Center,5 Star C 2C,3,2,0,0,0,0,0,0,0,0,0,0,Community Service Constructed for Child,Y,24,November,2018
11000456,Buncombe,Verner,Center,5 Star C 2C,3,3,0,0,0,0,0,0,0,0,0,0,Community Service Constructed for Child,Y,24,November,2018
11000474,Buncombe,Candler Elementary School Head Start,Center,5 Star C 2C,6,1,0,0,0,3,8,5,0,16,16,16,Head Start School,N,3,November,2018
11000474,Buncombe,Candler Elementary School Head Start,Center,5 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Head Start School,N,3,November,2018
11000474,Buncombe,Candler Elementary School Head Start,Center,5 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Head Start School,N,3,November,2018
11000498,Buncombe,Asheville Montessori School,Center,1 Star C 2C,5,1,0,0,0,5,9,12,0,26,25,25,Independent Converted House,N,5,November,2018
11000498,Buncombe,Asheville Montessori School,Center,1 Star C 2C,5,2,0,0,0,0,0,0,0,0,0,0,Independent Converted House,N,5,November,2018
11000498,Buncombe,Asheville Montessori School,Center,1 Star C 2C,5,3,0,0,0,0,0,0,0,0,0,0,Independent Converted House,N,5,November,2018
11000502,Buncombe,Blue Ridge Montessori School,Center,1 Star C 2C,5,1,0,0,4,2,4,4,0,14,30,30,Independent Constructed for Child,N,2,November,2018
11000502,Buncombe,Blue Ridge Montessori School,Center,1 Star C 2C,5,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child,N,2,November,2018
11000502,Buncombe,Blue Ridge Montessori School,Center,1 Star C 2C,5,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child,N,2,November,2018
11000510,Buncombe,Biltmore Academy Child Care Center,Center,4 Star C 2C,1,1,9,11,10,10,10,0,0,50,55,55,Independent Converted House,Y,7,November,2018
11000510,Buncombe,Biltmore Academy Child Care Center,Center,4 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Independent Converted House,Y,7,November,2018
11000510,Buncombe,Biltmore Academy Child Care Center,Center,4 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Converted House,Y,7,November,2018
11000514,Buncombe,Black Mountain Primary School Head Start,Center,5 Star C 2C,8,1,0,0,0,2,12,3,0,17,18,18,Head Start School,N,3,November,2018
11000514,Buncombe,Black Mountain Primary School Head Start,Center,5 Star C 2C,8,2,0,0,0,0,0,0,0,0,0,0,Head Start School,N,3,November,2018
11000514,Buncombe,Black Mountain Primary School Head Start,Center,5 Star C 2C,8,3,0,0,0,0,0,0,0,0,0,0,Head Start School,N,3,November,2018
11000519,Buncombe,Mimi's Place Childcare,Center,5 Star C 2C,3,1,4,1,4,3,5,3,1,21,41,41,Independent Constructed for Child,Y,8,November,2018
11000532,Buncombe,Charles C Bell Elementary Head Start,Center,5 Star C 2C,6,1,0,0,0,2,9,7,0,18,18,18,Head Start School,N,6,November,2018
11000532,Buncombe,Charles C Bell Elementary Head Start,Center,5 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Head Start School,N,6,November,2018
11000532,Buncombe,Charles C Bell Elementary Head Start,Center,5 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Head Start School,N,6,November,2018
11000533,Buncombe,Verner­west,Center,4 Star C 2C,10,1,3,11,6,5,4,0,0,29,49,49,Community Service Religious,Y,13,November,2018
11000533,Buncombe,Verner­west,Center,4 Star C 2C,10,2,0,0,0,0,0,0,0,0,0,0,Community Service Religious,Y,13,November,2018
11000533,Buncombe,Verner­west,Center,4 Star C 2C,10,3,0,0,0,0,0,0,0,0,0,0,Community Service Religious,Y,13,November,2018
11000545,Buncombe,Hominy Child Care,Center,5 Star C 2C,4,1,9,7,17,7,25,17,0,82,79,79,Religious Sponsored Constructed for Child,Y,19,November,2018
11000545,Buncombe,Hominy Child Care,Center,5 Star C 2C,4,2,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Constructed for Child,Y,19,November,2018
11000545,Buncombe,Hominy Child Care,Center,5 Star C 2C,4,3,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Constructed for Child,Y,19,November,2018
11000547,Buncombe,Weaverville Primary School Head Start,Center,5 Star C 2C,9,1,0,0,0,1,2,11,0,14,15,15,Head Start Modular,N,4,November,2018
11000547,Buncombe,Weaverville Primary School Head Start,Center,5 Star C 2C,9,2,0,0,0,0,0,0,0,0,0,0,Head Start Modular,N,4,November,2018
11000547,Buncombe,Weaverville Primary School Head Start,Center,5 Star C 2C,9,3,0,0,0,0,0,0,0,0,0,0,Head Start Modular,N,4,November,2018
11000555,Buncombe,Haw Creek Elementary School Head Start,Center,5 Star C 2C,6,1,0,0,0,0,11,7,0,18,18,18,Head Start School,N,4,November,2018
11000555,Buncombe,Haw Creek Elementary School Head Start,Center,5 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Head Start School,N,4,November,2018
11000555,Buncombe,Haw Creek Elementary School Head Start,Center,5 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Head Start School,N,4,November,2018
11000587,Buncombe,Regent Park Early Childhood Development,Center,5 Star C 2C,3,1,9,20,20,7,0,0,0,56,90,90,Independent Converted Building,Y,14,November,2018
11000587,Buncombe,Regent Park Early Childhood Development,Center,5 Star C 2C,3,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,14,November,2018
11000587,Buncombe,Regent Park Early Childhood Development,Center,5 Star C 2C,3,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,14,November,2018
11000599,Buncombe,Glen Arden Elementary Head Start,Center,5 Star C 2C,1,1,0,0,0,2,8,6,0,16,20,20,Head Start School,Y,3,November,2018
11000599,Buncombe,Glen Arden Elementary Head Start,Center,5 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Head Start School,Y,3,November,2018
11000599,Buncombe,Glen Arden Elementary Head Start,Center,5 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Head Start School,Y,3,November,2018
11000614,Buncombe,Children And Friends Enrichment Center,Center,5 Star C 2C,6,1,4,12,19,12,18,3,0,68,80,80,Community Service Converted Building,Y,15,November,2018
11000614,Buncombe,Children And Friends Enrichment Center,Center,5 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Community Service Converted Building,Y,15,November,2018
11000614,Buncombe,Children And Friends Enrichment Center,Center,5 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Community Service Converted Building,Y,15,November,2018
11000627,Buncombe,"Building Blocks Child Care Center, Inc.",Center,3 Star C 2C,9,1,9,11,14,11,5,0,8,58,90,90,Independent Converted Building,Y,11,November,2018
11000627,Buncombe,"Building Blocks Child Care Center, Inc.",Center,3 Star C 2C,9,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,11,November,2018
11000627,Buncombe,"Building Blocks Child Care Center, Inc.",Center,3 Star C 2C,9,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,11,November,2018
11000667,Buncombe,Ymca W.d. Williams Afterschool,Center,3 Star C 2C,10,1,0,0,0,0,0,0,45,45,100,100,Contracted Provider School,Y,4,November,2018
11000667,Buncombe,Ymca W.d. Williams Afterschool,Center,3 Star C 2C,10,2,0,0,0,0,0,0,0,0,0,0,Contracted Provider School,Y,4,November,2018
11000667,Buncombe,Ymca W.d. Williams Afterschool,Center,3 Star C 2C,10,3,0,0,0,0,0,0,0,0,0,0,Contracted Provider School,Y,4,November,2018
11000668,Buncombe,Ymca Avery's Creek Afterschool,Center,3 Star C 2C,7,1,0,0,0,0,0,0,42,42,100,100,Contracted Provider School,Y,5,November,2018
11000668,Buncombe,Ymca Avery's Creek Afterschool,Center,3 Star C 2C,7,2,0,0,0,0,0,0,0,0,0,0,Contracted Provider School,Y,5,November,2018
11000668,Buncombe,Ymca Avery's Creek Afterschool,Center,3 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Contracted Provider School,Y,5,November,2018
11000669,Buncombe,Ymca Candler Afterschool,Center,5 Star C 2C,10,1,0,0,0,0,0,0,25,25,50,50,Contracted Provider School,Y,2,November,2018
11000671,Buncombe,Ymca Fairview Afterschool,Center,3 Star C 2C,7,1,0,0,0,0,0,0,60,60,100,100,Contracted Provider School,Y,5,November,2018
11000671,Buncombe,Ymca Fairview Afterschool,Center,3 Star C 2C,7,2,0,0,0,0,0,0,0,0,0,0,Contracted Provider School,Y,5,November,2018
11000671,Buncombe,Ymca Fairview Afterschool,Center,3 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Contracted Provider School,Y,5,November,2018
11000672,Buncombe,Ymca Glen Arden Afterschool,Center,4 Star C 2C,1,1,0,0,0,0,0,0,60,60,100,100,Contracted Provider School,Y,3,November,2018
11000672,Buncombe,Ymca Glen Arden Afterschool,Center,4 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Contracted Provider School,Y,3,November,2018
11000672,Buncombe,Ymca Glen Arden Afterschool,Center,4 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Contracted Provider School,Y,3,November,2018
