id,county,name,type,star,ind_month,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
78000018,Robeson,"Raggedy Ann & Andy's Fantasy World Cc Ctr., Inc.",Center,4 Star C 2C,8,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,9,March,2018
78000033,Robeson,Rennert Head Start,Center,5 Star C 2C,9,1,0,0,0,11,43,16,0,70,70,70,Head Start Constructed for Child Care,N,10,March,2018
78000033,Robeson,Rennert Head Start,Center,5 Star C 2C,9,2,0,0,0,0,0,0,0,0,0,0,Head Start Constructed for Child Care,N,10,March,2018
78000033,Robeson,Rennert Head Start,Center,5 Star C 2C,9,3,0,0,0,0,0,0,0,0,0,0,Head Start Constructed for Child Care,N,10,March,2018
78000047,Robeson,"Kiddie World Nursery And Playschool, Inc.",Center,3 Star C 2C,6,1,1,4,7,6,6,6,8,38,49,49,Independent Converted Building,Y,6,March,2018
78000047,Robeson,"Kiddie World Nursery And Playschool, Inc.",Center,3 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,6,March,2018
78000047,Robeson,"Kiddie World Nursery And Playschool, Inc.",Center,3 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,6,March,2018
78000065,Robeson,Maxton Head Start,Center,5 Star C 2C,1,1,0,0,0,15,25,0,0,40,40,40,Head Start Modular,N,6,March,2018
78000065,Robeson,Maxton Head Start,Center,5 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Head Start Modular,N,6,March,2018
78000065,Robeson,Maxton Head Start,Center,5 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Head Start Modular,N,6,March,2018
78000070,Robeson,King's Learning Center,Center,4 Star C 2C,7,1,2,2,6,4,9,0,0,23,191,191,Independent Converted Building,Y,5,March,2018
78000070,Robeson,King's Learning Center,Center,4 Star C 2C,7,2,0,0,0,0,0,0,0,0,191,191,Independent Converted Building,Y,5,March,2018
78000070,Robeson,King's Learning Center,Center,4 Star C 2C,7,3,0,0,0,0,0,0,0,0,191,191,Independent Converted Building,Y,5,March,2018
78000075,Robeson,Butler's Day Care #2,Center,3 Star C 2C,1,1,0,2,0,2,3,0,6,13,44,44,Independent Converted Building,Y,1,March,2018
78000075,Robeson,Butler's Day Care #2,Center,3 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,1,March,2018
78000075,Robeson,Butler's Day Care #2,Center,3 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,1,March,2018
78000120,Robeson,Shining Stars Preschool/Pembroke,Center,5 Star C 2C,8,1,0,0,0,7,82,7,0,96,124,124,Local Public School School,Y,21,March,2018
78000120,Robeson,Shining Stars Preschool/Pembroke,Center,5 Star C 2C,8,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,21,March,2018
78000120,Robeson,Shining Stars Preschool/Pembroke,Center,5 Star C 2C,8,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,21,March,2018
78000125,Robeson,Nanny's Korner Care Center,Center,4 Star C 2C,8,1,1,0,0,2,0,0,0,3,50,50,Independent Converted House,Y,5,March,2018
78000125,Robeson,Nanny's Korner Care Center,Center,4 Star C 2C,8,2,0,0,0,0,0,0,0,0,50,50,Independent Converted House,Y,5,March,2018
78000125,Robeson,Nanny's Korner Care Center,Center,4 Star C 2C,8,3,0,0,0,0,0,0,0,0,0,0,Independent Converted House,Y,5,March,2018
78000137,Robeson,Cottonwood Pre­elementary,Center,4 Star C 2C,1,1,5,8,10,15,20,20,0,78,99,99,Independent Constructed for Child Care,Y,13,March,2018
78000137,Robeson,Cottonwood Pre­elementary,Center,4 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,13,March,2018
78000137,Robeson,Cottonwood Pre­elementary,Center,4 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,13,March,2018
78000142,Robeson,Wonder World Day Care Center,Center,4 Star C 2C,8,1,1,1,2,0,1,0,7,12,12,12,Independent Family Residence,Y,5,March,2018
78000142,Robeson,Wonder World Day Care Center,Center,4 Star C 2C,8,2,0,0,0,0,0,0,0,0,12,12,Independent Family Residence,Y,5,March,2018
78000142,Robeson,Wonder World Day Care Center,Center,4 Star C 2C,8,3,0,0,0,0,0,0,0,0,12,12,Independent Family Residence,Y,5,March,2018
78000145,Robeson,"Scott Childcare, Inc.",Center,3 Star C 2C,3,1,5,11,19,11,15,0,4,65,100,100,Independent Constructed for Child Care,Y,9,March,2018
78000145,Robeson,"Scott Childcare, Inc.",Center,3 Star C 2C,3,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,9,March,2018
78000145,Robeson,"Scott Childcare, Inc.",Center,3 Star C 2C,3,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,9,March,2018
78000157,Robeson,Joy In Learning Center,Center,3 Star C 2C,4,1,0,0,1,1,2,2,12,18,12,12,Independent Family Residence,Y,1,March,2018
78000157,Robeson,Joy In Learning Center,Center,3 Star C 2C,4,2,0,0,0,0,0,0,0,0,12,12,Independent Family Residence,Y,1,March,2018
78000157,Robeson,Joy In Learning Center,Center,3 Star C 2C,4,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,1,March,2018
78000165,Robeson,"Agape Child Development Center, Inc",Center,3 Star C 2C,1,1,0,1,1,3,1,0,8,14,29,29,Independent Converted House,Y,4,March,2018
78000165,Robeson,"Agape Child Development Center, Inc",Center,3 Star C 2C,1,2,0,0,0,0,0,0,0,0,29,29,Independent Converted House,Y,4,March,2018
78000165,Robeson,"Agape Child Development Center, Inc",Center,3 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Converted House,Y,4,March,2018
78000167,Robeson,"Christine's Christian Day Care, Inc.",Center,4 Star C 2C,7,1,4,10,13,13,27,29,8,104,131,156,Independent Constructed for Child Care,Y,11,March,2018
78000167,Robeson,"Christine's Christian Day Care, Inc.",Center,4 Star C 2C,7,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,11,March,2018
78000167,Robeson,"Christine's Christian Day Care, Inc.",Center,4 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,11,March,2018
78000175,Robeson,Island Grove Baptist Christian Daycare,Center,5 Star C 2C,1,1,7,6,9,7,8,0,0,37,90,90,Religious Sponsored Religious,Y,11,March,2018
78000175,Robeson,Island Grove Baptist Christian Daycare,Center,5 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Religious,Y,11,March,2018
78000175,Robeson,Island Grove Baptist Christian Daycare,Center,5 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Religious,Y,11,March,2018
78000178,Robeson,Shining Stars Preschool Bryan,Center,5 Star C 2C,6,1,0,0,0,1,3,11,0,15,88,88,Local Public School School,Y,28,March,2018
78000178,Robeson,Shining Stars Preschool Bryan,Center,5 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,28,March,2018
78000178,Robeson,Shining Stars Preschool Bryan,Center,5 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,28,March,2018
78000185,Robeson,A Gift From God Daycare,Center,3 Star C 2C,3,1,4,5,6,1,5,3,5,29,56,56,Independent Constructed for Child Care,Y,6,March,2018
78000185,Robeson,A Gift From God Daycare,Center,3 Star C 2C,3,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,6,March,2018
78000185,Robeson,A Gift From God Daycare,Center,3 Star C 2C,3,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,6,March,2018
78000189,Robeson,Hunt's Day Care,Center,3 Star C 2C,1,1,2,0,2,4,3,0,3,14,12,12,Independent Family Residence,Y,2,March,2018
78000189,Robeson,Hunt's Day Care,Center,3 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,2,March,2018
78000189,Robeson,Hunt's Day Care,Center,3 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,2,March,2018
78000202,Robeson,Red Springs Head Start Center,Center,4 Star C 2C,3,1,0,0,0,34,66,0,0,100,195,195,Head Start Converted Building,Y,15,March,2018
78000202,Robeson,Red Springs Head Start Center,Center,4 Star C 2C,3,2,0,0,0,0,0,0,0,0,0,0,Head Start Converted Building,Y,15,March,2018
78000202,Robeson,Red Springs Head Start Center,Center,4 Star C 2C,3,3,0,0,0,0,0,0,0,0,0,0,Head Start Converted Building,Y,15,March,2018
78000205,Robeson,Noah's Ark Learning Childcare Facility,Center,3 Star C 2C,2,1,1,2,3,1,3,0,0,10,50,50,Independent Constructed for Child Care,Y,4,March,2018
