id,county,type,star,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
01000028,ALAMANCE,HOMES,1-STAR,1,1,0,1,1,2,0,3,8,8,8,Independent Family,Y,1,march,2012
01000028,ALAMANCE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2012
01000028,ALAMANCE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2012
01000050,ALAMANCE,HOMES,1-STAR,1,1,0,2,1,1,0,2,7,8,8,Independent Family,N,1,march,2012
01000050,ALAMANCE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,march,2012
01000050,ALAMANCE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,march,2012
01000176,ALAMANCE,HOMES,5-STAR,1,0,2,1,1,0,0,2,6,8,8,Independent Family,Y,1,march,2012
01000176,ALAMANCE,HOMES,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2012
01000176,ALAMANCE,HOMES,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2012
01000234,ALAMANCE,HOMES,2-STAR,1,1,1,0,0,1,2,1,6,5,5,Independent Family,Y,1,march,2012
01000234,ALAMANCE,HOMES,2-STAR,2,0,0,0,0,0,0,0,0,5,0,Independent Family,Y,1,march,2012
01000234,ALAMANCE,HOMES,2-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2012
01000254,ALAMANCE,HOMES,3-STAR,1,0,0,0,0,0,0,3,3,5,5,Independent Family,Y,1,march,2012
01000254,ALAMANCE,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,5,5,Independent Family,Y,1,march,2012
01000254,ALAMANCE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2012
01000289,ALAMANCE,HOMES,4-STAR,1,2,0,2,0,1,0,2,7,8,12,Independent Family,Y,2,march,2012
01000289,ALAMANCE,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,8,12,Independent Family,Y,2,march,2012
01000289,ALAMANCE,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,8,12,Independent Family,Y,2,march,2012
01000293,ALAMANCE,HOMES,3-STAR,1,0,0,0,0,0,0,1,1,8,8,Independent Family,Y,1,march,2012
01000293,ALAMANCE,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2012
01000293,ALAMANCE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2012
01000333,ALAMANCE,HOMES,3-STAR,1,0,0,5,1,1,0,4,11,8,8,Independent Family,Y,1,march,2012
01000333,ALAMANCE,HOMES,3-STAR,2,0,1,1,0,1,0,0,3,8,8,Independent Family,Y,1,march,2012
01000333,ALAMANCE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,8,Independent Family,Y,1,march,2012
01000387,ALAMANCE,HOMES,2-STAR,1,0,0,1,0,1,0,1,3,8,8,Independent Family,Y,1,march,2012
01000387,ALAMANCE,HOMES,2-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,march,2012
01000387,ALAMANCE,HOMES,2-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,march,2012
01000394,ALAMANCE,HOMES,5-STAR,1,0,1,0,4,1,0,4,10,8,8,Independent Family,Y,1,march,2012
