id,county,type,star,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
53000252,LEE,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Religious   Converted House,Y,3,december,2012
53000271,LEE,CENTERS,4-STAR,1,2,5,5,22,47,15,0,96,118,118,Head Start  Constructed for,N,9,december,2012
53000271,LEE,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Head Start  Constructed for,N,9,december,2012
53000271,LEE,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Head Start  Constructed for,N,9,december,2012
53000277,LEE,CENTERS,2-STAR,1,0,4,7,7,3,2,2,25,29,29,Independent Converted House,N,4,december,2012
53000277,LEE,CENTERS,2-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Converted House,N,4,december,2012
53000277,LEE,CENTERS,2-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Converted House,N,4,december,2012
53000281,LEE,CENTERS,4-STAR,1,0,0,0,1,9,8,27,45,74,74,Religious   Converted,Y,6,december,2012
53000281,LEE,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Religious   Converted,Y,6,december,2012
53000281,LEE,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Religious   Converted,Y,6,december,2012
53000286,LEE,CENTERS,1-STAR,1,0,0,1,0,0,1,2,4,25,25,Independent  Converted House,Y,1,december,2012
53000286,LEE,CENTERS,1-STAR,2,0,0,0,0,1,0,2,3,25,25,Independent  Converted House,Y,1,december,2012
53000286,LEE,CENTERS,1-STAR,3,0,0,0,0,0,0,2,2,25,25,Independent  Converted House,Y,1,december,2012
53000288,LEE,CENTERS,2-STAR,1,2,1,9,8,5,1,3,29,46,49,Independent  Converted House,Y,8,december,2012
53000288,LEE,CENTERS,2-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent  Converted House,Y,8,december,2012
53000288,LEE,CENTERS,2-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent  Converted House,Y,8,december,2012
53000295,LEE,CENTERS,TEMP,1,0,0,4,8,2,2,6,22,46,46,Independent  Constructed for,N,5,december,2012
53000295,LEE,CENTERS,TEMP,2,0,0,0,0,0,0,0,0,0,0,Independent  Constructed for,N,5,december,2012
53000295,LEE,CENTERS,TEMP,3,0,0,0,0,0,0,0,0,0,0,Independent  Constructed for,N,5,december,2012
53000296,LEE,CENTERS,4-STAR,1,9,11,6,9,13,1,0,49,96,96,Independent  Converted,Y,9,december,2012
53000296,LEE,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent  Converted,Y,9,december,2012
53000296,LEE,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent  Converted,Y,9,december,2012
53000298,LEE,CENTERS,TEMP,1,2,1,3,0,3,0,0,9,68,68,Independent  Constructed for,Y,4,december,2012
53000298,LEE,CENTERS,TEMP,2,0,0,0,0,0,0,0,0,0,0,Independent  Constructed for,Y,4,december,2012
53000298,LEE,CENTERS,TEMP,3,0,0,0,0,0,0,0,0,0,0,Independent  Constructed for,Y,4,december,2012
53000299,LEE,CENTERS,TEMP,1,0,2,2,0,1,0,3,8,29,29,Independent  Converted House,Y,3,december,2012
53000299,LEE,CENTERS,TEMP,2,0,0,0,0,0,0,0,0,0,0,Independent  Converted House,Y,3,december,2012
53000299,LEE,CENTERS,TEMP,3,0,0,0,0,0,0,0,0,0,0,Independent  Converted House,Y,3,december,2012
53000300,LEE,CENTERS,TEMP,1,0,0,0,0,0,0,0,0,29,0,Independent  Converted House,Y,0,december,2012
53000300,LEE,CENTERS,TEMP,2,0,0,0,0,0,0,0,0,29,0,Independent  Converted House,Y,0,december,2012
53000300,LEE,CENTERS,TEMP,3,0,0,0,0,0,0,0,0,0,0,Independent  Converted House,Y,0,december,2012
5350976,LEE,CENTERS,3-STAR,1,0,0,3,15,2,8,12,40,73,73,Independent  Religious,Y,6,december,2012
5350976,LEE,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent  Religious,Y,6,december,2012
5350976,LEE,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent  Religious,Y,6,december,2012
5355026,LEE,CENTERS,4-STAR,1,0,2,5,4,5,0,1,17,56,56,Religious    Religious,Y,3,december,2012
5355026,LEE,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Religious    Religious,Y,3,december,2012
5355026,LEE,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Religious    Religious,Y,3,december,2012
5355044,LEE,CENTERS,5-STAR,1,0,0,0,6,24,11,0,41,90,90,Local Public School,Y,4,december,2012
5355044,LEE,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Local Public School,Y,4,december,2012
5355044,LEE,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Local Public School,Y,4,december,2012
5355058,LEE,CENTERS,2-STAR,1,0,4,3,12,5,5,10,39,40,40,Independent  Converted House,N,6,december,2012
5355058,LEE,CENTERS,2-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent  Converted House,N,6,december,2012
5355058,LEE,CENTERS,2-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent  Converted House,N,6,december,2012
5355077,LEE,CENTERS,3-STAR,1,3,2,1,6,3,0,5,20,29,29,Independent  Constructed for,Y,5,december,2012
5355077,LEE,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent  Constructed for,Y,5,december,2012
5355077,LEE,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent  Constructed for,Y,5,december,2012
5355078,LEE,CENTERS,3-STAR,1,0,0,0,0,2,0,4,6,12,12,Independent Family,Y,2,december,2012
5355078,LEE,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,2,december,2012
5355078,LEE,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,2,december,2012
5355081,LEE,CENTERS,3-STAR,1,0,0,4,2,1,2,6,15,29,29,Independent Converted,Y,3,december,2012
5355081,LEE,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Converted,Y,3,december,2012
5355081,LEE,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Converted,Y,3,december,2012
54000115,LENOIR,HOMES,4-STAR,1,0,0,2,0,1,0,4,7,8,8,Independent Family,Y,1,december,2012
54000115,LENOIR,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2012
54000115,LENOIR,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2012
54000128,LENOIR,HOMES,3-STAR,1,1,0,0,0,2,0,0,3,8,8,Independent Doublewide,Y,1,december,2012
54000128,LENOIR,HOMES,3-STAR,2,0,0,0,0,1,0,3,4,8,8,Independent Doublewide,Y,1,december,2012
54000128,LENOIR,HOMES,3-STAR,3,0,0,0,0,1,0,2,3,8,8,Independent Doublewide,Y,1,december,2012
54000135,LENOIR,HOMES,3-STAR,1,0,2,1,1,0,1,2,7,8,8,Independent Family,Y,1,december,2012
54000135,LENOIR,HOMES,3-STAR,2,0,2,0,1,1,0,0,4,8,8,Independent Family,Y,1,december,2012
54000135,LENOIR,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2012
54000142,LENOIR,HOMES,3-STAR,1,1,0,1,2,1,0,2,7,8,8,Independent Family,Y,1,december,2012
54000142,LENOIR,HOMES,3-STAR,2,0,0,0,0,0,0,1,1,8,8,Independent Family,Y,1,december,2012
54000142,LENOIR,HOMES,3-STAR,3,0,0,0,0,0,0,1,1,8,8,Independent Family,Y,1,december,2012
54000173,LENOIR,HOMES,4-STAR,1,1,1,0,1,0,0,0,3,8,8,Independent Doublewide,Y,1,december,2012
54000173,LENOIR,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Doublewide,Y,1,december,2012
54000173,LENOIR,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Doublewide,Y,1,december,2012
54000178,LENOIR,HOMES,5-STAR,1,0,2,2,0,0,1,3,8,8,8,Independent Family,Y,1,december,2012
54000178,LENOIR,HOMES,5-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2012
54000178,LENOIR,HOMES,5-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2012
54000184,LENOIR,HOMES,3-STAR,1,0,0,0,1,2,0,5,8,8,8,Independent Family,Y,1,december,2012
54000184,LENOIR,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2012
54000184,LENOIR,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2012
54000216,LENOIR,HOMES,3-STAR,1,0,1,0,0,2,0,3,6,8,8,Independent Family,Y,1,december,2012
54000216,LENOIR,HOMES,3-STAR,2,0,0,0,0,1,0,0,1,8,8,Independent Family,Y,1,december,2012
54000216,LENOIR,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2012
54000231,LENOIR,HOMES,1-STAR,1,2,1,1,1,0,0,0,5,5,5,Independent Family,N,1,december,2012
54000231,LENOIR,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,december,2012
54000231,LENOIR,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,december,2012
54000248,LENOIR,HOMES,4-STAR,1,0,0,0,0,1,0,0,1,8,8,Independent Family,Y,1,december,2012
54000248,LENOIR,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2012
54000248,LENOIR,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2012
54000266,LENOIR,HOMES,5-STAR,1,0,2,1,0,3,0,0,6,8,8,Independent Family,Y,1,december,2012
54000266,LENOIR,HOMES,5-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2012
54000266,LENOIR,HOMES,5-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2012
54000274,LENOIR,HOMES,4-STAR,1,0,0,0,0,0,2,2,4,8,8,Independent Doublewide,Y,1,december,2012
54000274,LENOIR,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Doublewide,Y,1,december,2012
54000274,LENOIR,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Doublewide,Y,1,december,2012
54000311,LENOIR,HOMES,3-STAR,1,2,1,0,1,0,0,0,4,8,8,Independent Family,Y,1,december,2012
54000311,LENOIR,HOMES,3-STAR,2,1,0,0,0,0,0,0,1,8,8,Independent Family,Y,1,december,2012
54000311,LENOIR,HOMES,3-STAR,3,1,0,0,0,0,0,0,1,8,8,Independent Family,Y,1,december,2012
54000314,LENOIR,HOMES,SPPROV,1,0,0,0,0,1,0,0,1,8,8,Independent Doublewide,Y,1,december,2012
54000314,LENOIR,HOMES,SPPROV,2,0,0,0,0,1,0,0,1,8,8,Independent Doublewide,Y,1,december,2012
54000314,LENOIR,HOMES,SPPROV,3,0,0,0,0,1,0,4,5,8,8,Independent Doublewide,Y,1,december,2012
54000319,LENOIR,HOMES,2-STAR,1,0,0,0,0,0,0,0,0,8,8,Independent Doublewide,N,1,december,2012
54000319,LENOIR,HOMES,2-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Doublewide,N,1,december,2012
54000319,LENOIR,HOMES,2-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Doublewide,N,1,december,2012
54000320,LENOIR,HOMES,3-STAR,1,0,1,0,1,1,0,2,5,5,5,Independent Family,Y,1,december,2012
54000320,LENOIR,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,5,5,Independent Family,Y,1,december,2012
54000320,LENOIR,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,december,2012
5405048,LENOIR,HOMES,2-STAR,1,0,0,1,0,0,0,3,4,8,8,Independent Family,N,1,december,2012
5405048,LENOIR,HOMES,2-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,N,1,december,2012
5405048,LENOIR,HOMES,2-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,december,2012
54000008,LENOIR,CENTERS,3-STAR,1,0,1,6,1,1,0,9,18,50,50,Independent  Converted,Y,4,december,2012
54000008,LENOIR,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,50,50,Independent  Converted,Y,4,december,2012
54000008,LENOIR,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent  Converted,Y,4,december,2012
54000027,LENOIR,CENTERS,5-STAR,1,7,8,14,19,38,0,24,110,102,102,Independent  Converted House,Y,5,december,2012
54000027,LENOIR,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent  Converted House,Y,5,december,2012
54000027,LENOIR,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent  Converted House,Y,5,december,2012
54000096,LENOIR,CENTERS,5-STAR,1,4,3,4,0,0,0,0,11,12,12,Independent  Family,Y,5,december,2012
54000096,LENOIR,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,12,12,Independent  Family,Y,5,december,2012
54000096,LENOIR,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent  Family,Y,5,december,2012
54000124,LENOIR,CENTERS,5-STAR,1,0,0,0,17,37,2,0,56,80,80,Head Start   Government,Y,7,december,2012
54000124,LENOIR,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Head Start   Government,Y,7,december,2012
54000124,LENOIR,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Head Start   Government,Y,7,december,2012
54000131,LENOIR,CENTERS,3-STAR,1,0,1,3,2,0,0,0,6,12,12,Independent  Family,Y,2,december,2012
54000131,LENOIR,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent  Family,Y,2,december,2012
54000131,LENOIR,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent  Family,Y,2,december,2012
54000133,LENOIR,CENTERS,3-STAR,1,7,13,6,11,12,4,0,53,76,76,Independent  Converted,Y,9,december,2012
54000133,LENOIR,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent  Converted,Y,9,december,2012
54000133,LENOIR,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent  Converted,Y,9,december,2012
54000138,LENOIR,CENTERS,4-STAR,1,0,0,0,0,0,0,27,27,74,74,Local Public School,Y,3,december,2012
54000138,LENOIR,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Local Public School,Y,3,december,2012
54000138,LENOIR,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Local Public School,Y,3,december,2012
54000150,LENOIR,CENTERS,4-STAR,1,0,0,0,14,25,15,0,54,60,80,Head Start   Converted,Y,9,december,2012
54000150,LENOIR,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Head Start   Converted,Y,9,december,2012
54000150,LENOIR,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Head Start   Converted,Y,9,december,2012
54000204,LENOIR,CENTERS,5-STAR,1,0,0,0,2,35,31,0,68,100,70,Head Start   Converted,Y,3,december,2012
54000204,LENOIR,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Head Start   Converted,Y,3,december,2012
54000204,LENOIR,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Head Start   Converted,Y,3,december,2012
54000223,LENOIR,CENTERS,3-STAR,1,3,3,8,2,1,1,17,35,145,145,Religious    Religious,Y,7,december,2012
