id,county,type,star,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
43000207,HARNETT,HOMES,4-STAR,1,1,1,1,1,0,0,2,6,8,8,Independent Family,Y,1,march,2006
43000207,HARNETT,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,march,2006
43000207,HARNETT,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,march,2006
43000215,HARNETT,HOMES,4-STAR,1,0,1,1,1,0,0,0,3,8,8,Independent Family,Y,1,march,2006
43000215,HARNETT,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2006
43000215,HARNETT,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2006
43000217,HARNETT,HOMES,3-STAR,1,0,0,0,0,1,0,5,6,8,8,Independent Family,Y,1,march,2006
43000217,HARNETT,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,8,0,Independent Family,Y,1,march,2006
43000217,HARNETT,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2006
43000234,HARNETT,HOMES,3-STAR,1,0,0,0,0,0,0,3,3,8,8,Independent Family,Y,1,march,2006
43000234,HARNETT,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,march,2006
43000234,HARNETT,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,march,2006
43000235,HARNETT,HOMES,3-STAR,1,1,0,3,1,1,0,1,7,8,8,Independent Family,Y,2,march,2006
43000235,HARNETT,HOMES,3-STAR,2,0,1,1,1,0,0,2,5,8,8,Independent Family,Y,2,march,2006
43000235,HARNETT,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,2,march,2006
43000252,HARNETT,HOMES,3-STAR,1,0,1,0,0,0,0,0,1,8,8,Independent Family,N,1,march,2006
43000252,HARNETT,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,march,2006
43000252,HARNETT,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,march,2006
43000260,HARNETT,HOMES,3-STAR,1,0,3,1,0,1,0,0,5,8,8,Independent Family,N,1,march,2006
43000260,HARNETT,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,march,2006
43000260,HARNETT,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,march,2006
43000269,HARNETT,HOMES,4-STAR,1,0,0,1,1,0,1,3,6,8,8,Independent Family,Y,1,march,2006
43000269,HARNETT,HOMES,4-STAR,2,1,0,1,0,0,1,2,5,8,8,Independent Family,Y,1,march,2006
43000269,HARNETT,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,march,2006
43000270,HARNETT,HOMES,4-STAR,1,0,1,0,1,2,0,5,9,8,8,Independent Family,Y,1,march,2006
43000270,HARNETT,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,8,0,Independent Family,Y,1,march,2006
43000270,HARNETT,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2006
43000285,HARNETT,HOMES,4-STAR,1,2,1,0,0,3,0,4,10,8,8,Independent Family,Y,2,march,2006
43000285,HARNETT,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,2,march,2006
43000285,HARNETT,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,2,march,2006
43000290,HARNETT,HOMES,3-STAR,1,0,0,0,0,0,0,4,4,8,8,Independent Family,Y,1,march,2006
43000290,HARNETT,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,march,2006
43000290,HARNETT,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2006
43000294,HARNETT,HOMES,3-STAR,1,1,0,2,0,0,0,0,3,8,8,Independent Family,Y,1,march,2006
43000294,HARNETT,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2006
43000294,HARNETT,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2006
43000299,HARNETT,HOMES,4-STAR,1,0,1,0,1,1,0,4,7,8,8,Independent Family,Y,2,march,2006
43000299,HARNETT,HOMES,4-STAR,2,0,0,0,0,0,0,1,1,8,8,Independent Family,Y,2,march,2006
43000299,HARNETT,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,2,march,2006
43000302,HARNETT,HOMES,3-STAR,1,1,1,0,1,3,0,2,8,8,8,Independent Modular,Y,1,march,2006
43000302,HARNETT,HOMES,3-STAR,2,1,1,0,1,3,0,2,8,8,8,Independent Modular,Y,1,march,2006
43000302,HARNETT,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Modular,Y,1,march,2006
43000304,HARNETT,HOMES,3-STAR,1,0,1,0,1,1,1,0,4,8,8,Independent Family,Y,1,march,2006
43000304,HARNETT,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,march,2006
43000304,HARNETT,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,march,2006
43000313,HARNETT,HOMES,3-STAR,1,0,0,0,0,0,0,2,2,8,8,Independent Modular,Y,1,march,2006
43000313,HARNETT,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Modular,Y,1,march,2006
43000313,HARNETT,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Modular,Y,1,march,2006
43000319,HARNETT,HOMES,3-STAR,1,0,2,1,0,0,0,3,6,8,8,Independent Family,Y,1,march,2006
43000319,HARNETT,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,march,2006
43000319,HARNETT,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,march,2006
43000321,HARNETT,HOMES,4-STAR,1,0,0,1,0,0,0,1,2,8,8,Independent Family,Y,1,march,2006
