id,name,street,city,zip,address,lon,lat
34000058,Love ­N­care Day Care Home,2914 Poinsetta Dr,Winston-Salem,27107,"2914 Poinsetta Dr, Winston-Salem, NC 27107",-80.1793764,36.0688546
34000254,Cuddle Bugs Day Care,5886 Sullivantown Rd,Walkertown,27051,"5886 Sullivantown Rd, Walkertown, NC 27051",-80.1374541,36.1912369
34000263,Kelly's Day Care,1800 Brewer Road,Winston-Salem,27127,"1800 Brewer Road, Winston-Salem, NC 27127",-80.25484879999999,36.0516856
34000264,Eloise Rowe's Day Care Home,1617 Bridlington Rd,Kernersville,27284,"1617 Bridlington Rd, Kernersville, NC 27284",-80.051997,36.0498804
34000344,Little Angels Child Care,1219 E 23rd St,Winston-Salem,27105,"1219 E 23rd St, Winston-Salem, NC 27105",-80.2294047,36.1202149
34000416,Glo'z Kidz Day And Night Care,3021 Teresa Ave,Winston-Salem,27105,"3021 Teresa Ave, Winston-Salem, NC 27105",-80.2078812,36.1243036
34000495,Miss Dee's Day Care Home,1375 Reynolds Forest Drive,Winston-Salem,27107,"1375 Reynolds Forest Drive, Winston-Salem, NC 27107",-80.19155479999999,36.0773471
34000497,Grant's Day Care,4848 Thornbrook Ln,Winston-Salem,27105,"4848 Thornbrook Ln, Winston-Salem, NC 27105",-80.19582799999999,36.167835
34000504,Kiddie Luv Child Care Center,4521 Lasley Dr,Winston-Salem,27105,"4521 Lasley Dr, Winston-Salem, NC 27105",-80.2053549,36.1527202
34000513,Children Need Attention Learning Center,2708 Raleigh Ave,Winston-Salem,27105,"2708 Raleigh Ave, Winston-Salem, NC 27105",-80.21062909999999,36.1261627
34000517,Cozy's Place Day Care Home,4681 Tobacco St,Winston-Salem,27106,"4681 Tobacco St, Winston-Salem, NC 27106",-80.2698001,36.153521
34000520,It Takes A Village Development Child Care Home,3711 Sawyer Dr,Winston-Salem,27105,"3711 Sawyer Dr, Winston-Salem, NC 27105",-80.2138528,36.1363969
34000538,Omega Wilcox Child Care Home,2868 Hermitage Dr,Winston-Salem,27103,"2868 Hermitage Dr, Winston-Salem, NC 27103",-80.291966,36.0756071
34000540,"Tonya's Tiny Tots, Llc",950 Hazelwood Dr,Winston-Salem,27103,"950 Hazelwood Dr, Winston-Salem, NC 27103",-80.33734679999999,36.0629855
34000542,Cole's Christian Home Day Care,512 W 23rd Street,Winston-Salem,27105,"512 W 23rd Street, Winston-Salem, NC 27105",-80.2555021,36.1193789
34000549,Teddy Bear Tender Care,4425 Mecum Rd,Walkertown,27051,"4425 Mecum Rd, Walkertown, NC 27051",-80.1553962,36.1974579
34000556,T's Creation Christian Home Child Provider,2816 Rosemary Dr,Winston-Salem,27105,"2816 Rosemary Dr, Winston-Salem, NC 27105",-80.2089496,36.1278786
34000579,Tiny Feet Christian Day Care,125 Tall Pines Court,Winston-Salem,27107,"125 Tall Pines Court, Winston-Salem, NC 27107",-80.1956986,36.0915073
34000589,Great Thinkers Learning Center,3055 Bainbridge Dr,Winston-Salem,27105,"3055 Bainbridge Dr, Winston-Salem, NC 27105",-80.2136349,36.1439026
34000607,Hoffman Family Child Care,4190 Clarksburg  Road,Clemmons,27012,"4190 Clarksburg  Road, Clemmons, NC 27012",-80.37741849999999,36.0124906
34000618,God's Little Blessings Child Care,4091 Morningside Drive,Winston-Salem,27106,"4091 Morningside Drive, Winston-Salem, NC 27106",-80.3185292,36.1682381
34000648,Wanda's Little Wonders,1915 Lodgecrest Lane,Pfafftown,27040,"1915 Lodgecrest Lane, Pfafftown, NC 27040",-80.3299147,36.1927222
34000673,Little Geniuses Learning Center,3150 Stone Forest Drive,Winston-Salem,27105,"3150 Stone Forest Drive, Winston-Salem, NC 27105",-80.188532,36.126509
34000676,Sweet Dreams Day Care,2500 Reynolds Park Road,Winston-Salem,27107,"2500 Reynolds Park Road, Winston-Salem, NC 27107",-80.2031322,36.0872465
34000679,Pooh Bear's Honey Pot,5874 Sullivantown Road,Walkertown,27051,"5874 Sullivantown Road, Walkertown, NC 27051",-80.135464,36.190699
