id,county,type,star,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
53000140,LEE,HOMES,2-STAR,1,0,2,0,1,0,0,2,5,8,8,Independent Family,Y,2,september,2009
53000140,LEE,HOMES,2-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,2,september,2009
53000140,LEE,HOMES,2-STAR,3,2,0,0,0,1,0,1,4,8,8,Independent Family,Y,2,september,2009
53000144,LEE,HOMES,2-STAR,1,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000144,LEE,HOMES,2-STAR,2,0,1,2,1,1,0,0,5,8,8,Independent Family,Y,1,september,2009
53000144,LEE,HOMES,2-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000145,LEE,HOMES,1-STAR,1,0,0,2,0,1,0,4,7,8,8,Independent Family,Y,1,september,2009
53000145,LEE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000145,LEE,HOMES,1-STAR,3,0,0,0,1,1,0,1,3,8,8,Independent Family,Y,1,september,2009
53000147,LEE,HOMES,2-STAR,1,1,0,1,0,0,0,3,5,8,8,Independent Family,Y,1,september,2009
53000147,LEE,HOMES,2-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000147,LEE,HOMES,2-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,september,2009
53000159,LEE,HOMES,4-STAR,1,0,1,0,0,0,1,1,3,8,8,Independent Doublewide,Y,1,september,2009
53000159,LEE,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Doublewide,Y,1,september,2009
53000159,LEE,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Doublewide,Y,1,september,2009
53000162,LEE,HOMES,5-STAR,1,1,1,2,0,0,0,0,4,8,8,Independent Family,Y,1,september,2009
53000162,LEE,HOMES,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,september,2009
53000162,LEE,HOMES,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,september,2009
53000166,LEE,HOMES,2-STAR,1,0,0,0,1,1,0,2,4,8,8,Independent Family,Y,1,september,2009
53000166,LEE,HOMES,2-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000166,LEE,HOMES,2-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000186,LEE,HOMES,3-STAR,1,0,2,2,0,1,0,3,8,8,8,Independent Family,Y,1,september,2009
53000186,LEE,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000186,LEE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000193,LEE,HOMES,4-STAR,1,0,0,1,0,0,0,1,2,8,8,Independent Family,Y,1,september,2009
53000193,LEE,HOMES,4-STAR,2,0,0,1,0,1,1,3,6,8,8,Independent Family,Y,1,september,2009
53000193,LEE,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000198,LEE,HOMES,4-STAR,1,0,0,2,0,0,1,2,5,8,8,Independent Family,Y,1,september,2009
53000198,LEE,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,september,2009
53000198,LEE,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,september,2009
53000210,LEE,HOMES,3-STAR,1,0,0,0,1,1,0,0,2,8,8,Independent Family,Y,1,september,2009
53000210,LEE,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000210,LEE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000235,LEE,HOMES,3-STAR,1,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,2,september,2009
53000235,LEE,HOMES,3-STAR,2,0,0,0,1,1,0,2,4,8,8,Independent Family,Y,2,september,2009
53000235,LEE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,2,september,2009
53000237,LEE,HOMES,2-STAR,1,0,1,0,2,0,0,0,3,8,8,Independent Family,Y,1,september,2009
53000237,LEE,HOMES,2-STAR,2,3,1,0,2,1,0,0,7,8,8,Independent Family,Y,1,september,2009
53000237,LEE,HOMES,2-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000238,LEE,HOMES,4-STAR,1,1,0,0,0,0,0,0,1,8,8,Independent Doublewide,Y,1,september,2009
53000238,LEE,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Doublewide,Y,1,september,2009
53000238,LEE,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Doublewide,Y,1,september,2009
53000242,LEE,HOMES,1-STAR,1,2,0,0,3,0,0,0,5,8,8,Independent Family,Y,1,september,2009
53000242,LEE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000242,LEE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000246,LEE,HOMES,1-STAR,1,1,2,0,0,1,0,0,4,8,8,Independent Family,N,1,september,2009
53000246,LEE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,september,2009
53000246,LEE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,september,2009
53000249,LEE,HOMES,5-STAR,1,0,1,2,0,0,0,0,3,8,8,Independent Family,Y,1,september,2009
53000249,LEE,HOMES,5-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000249,LEE,HOMES,5-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000250,LEE,HOMES,2-STAR,1,0,0,1,1,0,0,2,4,8,8,Independent Family,Y,1,september,2009
53000250,LEE,HOMES,2-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000250,LEE,HOMES,2-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000253,LEE,HOMES,1-STAR,1,0,0,0,0,0,0,1,1,8,8,Independent Family,Y,1,september,2009
53000253,LEE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000253,LEE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000254,LEE,HOMES,3-STAR,1,0,2,1,0,0,0,1,4,8,8,Independent Family,Y,1,september,2009
53000254,LEE,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000254,LEE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000257,LEE,HOMES,1-STAR,1,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000257,LEE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000257,LEE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000259,LEE,HOMES,1-STAR,1,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000259,LEE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,september,2009
53000259,LEE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,september,2009
53000261,LEE,HOMES,1-STAR,1,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000261,LEE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000261,LEE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000263,LEE,HOMES,1-STAR,1,0,0,0,1,0,0,0,1,8,8,Independent Family,Y,1,september,2009
53000263,LEE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,september,2009
53000263,LEE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,september,2009
5305131,LEE,HOMES,3-STAR,1,1,1,0,1,1,0,3,7,8,8,Independent Family,Y,1,september,2009
5305131,LEE,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,september,2009
5305131,LEE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,september,2009
5305158,LEE,HOMES,3-STAR,1,0,1,2,0,0,0,0,3,8,8,Independent Family,Y,2,september,2009
5305158,LEE,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,2,september,2009
5305158,LEE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,2,september,2009
5305176,LEE,HOMES,5-STAR,1,1,1,0,2,0,0,3,7,8,8,Independent Family,Y,1,september,2009
5305176,LEE,HOMES,5-STAR,2,0,0,0,0,1,0,0,1,8,8,Independent Family,Y,1,september,2009
5305176,LEE,HOMES,5-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,september,2009
53000017,LEE,CENTERS,4-STAR,1,0,0,0,0,16,2,0,18,20,20,Head Start     Modular,N,4,september,2009
53000017,LEE,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Head Start     Modular,N,4,september,2009
53000017,LEE,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Head Start     Modular,N,4,september,2009
53000028,LEE,CENTERS,GS[0-9]+,1,6,17,20,20,20,8,25,116,129,129,Religious      Converted,Y,8,september,2009
53000028,LEE,CENTERS,GS[0-9]+,2,0,0,0,0,0,0,0,0,0,0,Religious      Converted,Y,8,september,2009
53000028,LEE,CENTERS,GS[0-9]+,3,0,0,0,0,0,0,0,0,0,0,Religious      Converted,Y,8,september,2009
53000037,LEE,CENTERS,5-STAR,1,5,5,8,6,6,3,1,34,48,48,Community      Constructed for,Y,3,september,2009
53000037,LEE,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Community      Constructed for,Y,3,september,2009
53000037,LEE,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Community      Constructed for,Y,3,september,2009
53000038,LEE,CENTERS,GS[0-9]+,1,5,13,26,30,18,18,0,110,200,167,Private School Religious,Y,1,september,2009
53000038,LEE,CENTERS,GS[0-9]+,2,0,0,0,0,0,0,0,0,0,0,Private School Religious,Y,1,september,2009
53000038,LEE,CENTERS,GS[0-9]+,3,0,0,0,0,0,0,0,0,0,0,Private School Religious,Y,1,september,2009
53000043,LEE,CENTERS,4-STAR,1,0,0,6,10,11,19,19,65,117,117,Religious      Religious,Y,0,september,2009
53000043,LEE,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Religious      Religious,Y,0,september,2009
53000043,LEE,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Religious      Religious,Y,0,september,2009
53000044,LEE,CENTERS,3-STAR,1,1,2,2,1,1,0,8,15,24,24,Independent    Family,Y,3,september,2009
53000044,LEE,CENTERS,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Family,Y,3,september,2009
53000044,LEE,CENTERS,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Family,Y,3,september,2009
